t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1418990146,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990151,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990156,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990161,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990166,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990171,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990176,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990181,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990186,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990191,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990196,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990201,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990206,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990211,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990216,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990221,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990226,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990231,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990236,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990241,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990246,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990251,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990256,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990261,22,5,3.000000,1,2.047065,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
